timestamp,event,duration,device,interface,comment
1558408598.997273,apply_device_configs,,,,"Edit subscriptions dr02,dr03,leaf8,leaf7,spine3,spine4"
1558408612.590126,remove_network_loop,,dr02,,
1558408616.400710,remove_network_loop,,dr03,,
1558408677.000000,clear_telemetry,,spine1,,
1558408677.000000,clear_telemetry,,spine2,,
1558408677.000000,clear_telemetry,,spine3,,
1558408677.000000,clear_telemetry,,spine4,,
1558408677.000000,clear_telemetry,,leaf7,,
1558408677.000000,clear_telemetry,,leaf8,,
1558408677.000000,clear_telemetry,,dr02,,
1558408677.000000,clear_telemetry,,dr03,,
1558408677.519241,ixchariot_traffic,10800,,,
1558409892.286804,add_network_loop,,dr02,,
1558409896.097074,add_network_loop,,dr03,,
1558410841.929872,remove_network_loop,,dr02,,
1558410846.141173,remove_network_loop,,dr03,,
1558412277.567676,shutdown_interface,,leaf7,HundredGigE0/0/0/14,
1558413477.603854,enable_interface,,leaf7,HundredGigE0/0/0/14,
1558414692.378756,add_network_loop,,dr02,,
1558414696.189224,add_network_loop,,dr03,,
1558415641.956919,remove_network_loop,,dr02,,
1558415646.168009,remove_network_loop,,dr03,,
1558417077.607069,shutdown_interface,,leaf7,HundredGigE0/0/0/15,
1558418277.604040,enable_interface,,leaf7,HundredGigE0/0/0/15,
1558419483.393281,ixchariot_traffic_stopped,,,,
1558419492.771189,add_network_loop,,dr02,,
1558419496.872054,add_network_loop,,dr03,,
1558419532.000000,collect_telemetry,,spine1,,
1558419532.000000,collect_telemetry,,spine2,,
1558419532.000000,collect_telemetry,,spine3,,
1558419532.000000,collect_telemetry,,spine4,,
1558419532.000000,collect_telemetry,,leaf7,,
1558419532.000000,collect_telemetry,,leaf8,,
1558419532.000000,collect_telemetry,,dr02,,
1558419532.000000,collect_telemetry,,dr03,,
