

Fri Aug  4 17:53:19.207 UTC
Syslog logging: enabled (0 messages dropped, 0 flushes, 0 overruns)
    Console logging: level warnings, 289 messages logged
    Monitor logging: level informational, 0 messages logged
    Trap logging: level informational, 0 messages logged
    Buffer logging: level debugging, 70 messages logged

Log Buffer (2097152 bytes):

RP/0/RP0/CPU0:Aug  4 17:14:37.276 : SSHD_[69183]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 17:22:03.762 : SSHD_[69350]: %SECURITY-SSHD-6-INFO_SUCCESS_COMMAND : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256', command 'show logging') 
RP/0/RP0/CPU0:Aug  4 17:22:04.213 : SSHD_[69350]: %SECURITY-SSHD-6-INFO_USER_LOGOUT : User 'admin' from '10.200.96.148' logged out on 'vty0' 
RP/0/RP0/CPU0:Aug  4 17:29:44.187 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.189 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.189 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.190 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.191 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.191 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Aug  4 17:29:44.191 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
