Fri Sep  1 12:52:18.588 PDT
RP/0/RP0/CPU0:Sep  1 09:17:16.326 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.4 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65024) 
RP/0/RP1/CPU0:Sep  1 09:17:16.326 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.24.4 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:16.327 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.6 Down - Peer closing down the session (CEASE notification sent - hold time expired) (VRF: default) (AS: 65024) 
RP/0/RP1/CPU0:Sep  1 09:17:16.326 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.24.6 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:16.330 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2406 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65024) 
RP/0/RP1/CPU0:Sep  1 09:17:16.330 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:1eaf:4:d03:2406 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:16.330 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2404 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65024) 
RP/0/RP1/CPU0:Sep  1 09:17:16.330 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:1eaf:4:d03:2404 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:29.237 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.28.4 Down - Peer closing down the session (VRF: default) (AS: 65028) 
RP/0/RP1/CPU0:Sep  1 09:17:29.238 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.28.4 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:29.248 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:8:d03:2804 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65028) 
RP/0/RP1/CPU0:Sep  1 09:17:29.248 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 2001:420:289:2000:1eaf:8:d03:2804 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:17:53.344 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.6 Up (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:17:55.167 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2406 Up (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:17:57.661 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:8:d03:2804 Up (VRF: default) (AS: 65028) 
RP/0/RP0/CPU0:Sep  1 09:17:58.158 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:1eaf:4:d03:2404 Up (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:18:04.262 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.4 Up (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:18:16.544 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.28.4 Up (VRF: default) (AS: 65028) 
RP/0/RP1/CPU0:Sep  1 09:20:29.238 : bgp[1050]: %ROUTING-BGP-5-NBR_NSR_DISABLED_STANDBY : NSR disabled on neighbor 172.31.28.4 on standby RP due to BGP Notification received (VRF: default) 
RP/0/RP0/CPU0:Sep  1 09:20:29.239 : bgp[1050]: %ROUTING-BGP-3-NBR_NSR_DISABLED : NSR disabled on neighbor 172.31.28.4 due to Standby reset 
