Fri Sep  1 12:50:33.903 PDT
RP/0/RP0/CPU0:Sep  1 09:08:42.031 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.52 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.031 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.54 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.032 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.50 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1354 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1352 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:12:42.034 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1350 Down - Peer closing down the session (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:06.272 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.48 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.274 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.50 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.275 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.52 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.276 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.54 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.292 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1150 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.292 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1148 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.292 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1152 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:06.297 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1154 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:09.688 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.52 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.688 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.48 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.688 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.50 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.688 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.54 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.702 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1250 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.702 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1248 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.702 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1252 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:09.702 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1254 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:31.345 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.48 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:31.353 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1348 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:31.944 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.54 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:34.780 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.48 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.781 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.54 Down - Peer closing down the session (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.781 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.52 Down - Peer closing down the session (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.781 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.50 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.784 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.790 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1452 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1454 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:34.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1450 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:16:37.533 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1350 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:41.565 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.48 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:42.066 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.52 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:42.121 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1250 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:43.900 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1154 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:44.975 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1254 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:45.473 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.52 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:47.371 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.48 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:47.745 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1152 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:48.296 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1352 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:51.145 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.50 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:16:52.900 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1148 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:54.075 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1150 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:57.387 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.54 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:57.491 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1248 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:58.289 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.50 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:16:58.596 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.50 Up (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 09:16:59.927 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.52 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:00.099 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.54 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:00.755 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1348 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:01.791 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1354 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:01.840 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1252 Up (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 09:17:04.124 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.48 Up (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:17:04.442 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1450 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:04.749 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1448 Up (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 09:17:05.925 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.50 Up (VRF: default) (AS: 65014) 
