Fri Sep  1 12:51:32.446 PDT
RP/0/RP0/CPU0:Sep  1 09:08:16.955 : resmon[378]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 814.365MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (833728 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 29961, Heap usage: 3409864 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7726, Heap usage: 1121208 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3182, Heap usage: 289340 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3842, Heap usage: 155972 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:16.956 : resmon[378]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2722, Heap usage: 102284 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:41.018 : resmon[378]: %HA-HA_WD-4-MEMORY_STATE_CHANGE : New memory state: Severe 
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USERS_WARNING : Top 5 consumers of system memory (680012 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 0: Process Name: ./pipeline[0], pid: 29961, Heap usage 3548080 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 1: Process Name: emsd[0], pid: 7726, Heap usage 1151144 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 2: Process Name: prm_server[0], pid: 3182, Heap usage 289340 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 3: Process Name: fib_mgr[0], pid: 3842, Heap usage 155972 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:41.019 : resmon[378]: %HA-HA_WD-4-TOP_MEMORY_USER_WARNING : 4: Process Name: spp[0], pid: 2722, Heap usage 102284 Kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:42.025 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.63 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.63' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.63 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65028) 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.61 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.61' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.61 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65028) 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.59 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.59' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.59 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65028) 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.55 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.55' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.55 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65027) 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.53 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.53' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.53 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65027) 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-LOWMEM_RESET : neighbor 172.31.13.51 reset due to SEVERE low memory condition - use 'clear bgp 172.31.13.51' to re-enable 
RP/0/RP0/CPU0:Sep  1 09:08:42.027 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.51 Down - Shutdown during SEVERE low memory condition (CEASE notification sent - out of resource) (VRF: default) (AS: 65027) 
