Fri Sep  1 12:51:55.057 PDT
RP/0/RP0/CPU0:Sep  1 09:17:06.585 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.21.0 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:06.585 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.21.2 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:06.592 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2100 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:06.592 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2102 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:09.766 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.22.0 Down - Peer closing down the session (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:17:09.766 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.22.2 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:17:09.771 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2200 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:17:09.774 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2202 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:17:12.967 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.23.2 Down - Peer closing down the session (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:12.967 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.23.0 Down - Peer closing down the session (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:12.972 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2300 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:12.973 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2302 Down - Peer closing down the session (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:16.327 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.24.2 Down - Peer closing down the session (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:17:16.329 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2402 Down - Peer closing down the session (VRF: default) (AS: 65024) 
RP/0/RP0/CPU0:Sep  1 09:17:38.215 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.21.0 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:39.407 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2302 Up (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:39.723 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2300 Up (VRF: default) (AS: 65023) 
RP/0/RP0/CPU0:Sep  1 09:17:41.328 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2100 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:42.044 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.21.2 Up (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:17:44.331 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:2200 Up (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:17:47.100 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.22.0 Up (VRF: default) (AS: 65022) 
