Fri Sep  1 19:50:04.981 UTC
RP/0/RP0/CPU0:Sep  1 16:08:42.033 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.30 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:09:50.247 : resmon[236]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 795.264MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (850278 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 10392, Heap usage: 3404064 kbytes. 
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 9665, Heap usage: 1118844 kbytes. 
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3617, Heap usage: 290188 kbytes. 
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 4278, Heap usage: 161012 kbytes. 
RP/0/RP0/CPU0:Sep  1 16:09:50.248 : resmon[236]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 3159, Heap usage: 103236 kbytes. 
RP/0/RP0/CPU0:Sep  1 16:10:42.030 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.28 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:10:42.031 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.26 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:14:42.033 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1326 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:14:42.034 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1330 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:14:42.034 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1328 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:15:10.768 : resmon[236]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Normal with 2027.008MB free. Previous state: Minor 
RP/0/RP0/CPU0:Sep  1 16:16:06.269 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.24 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.269 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.26 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.269 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.30 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.269 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.283 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1124 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.283 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1126 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.285 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1130 Down - Peer closing down the session (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:06.285 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1128 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65011) 
RP/0/RP0/CPU0:Sep  1 16:16:09.686 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.26 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.686 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.28 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.686 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.24 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.687 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.12.30 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.695 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1224 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.696 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1226 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.698 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1230 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:09.698 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1228 Down - Peer closing down the session (VRF: default) (AS: 65012) 
RP/0/RP0/CPU0:Sep  1 16:16:31.341 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.24 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:31.344 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1324 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 16:16:34.774 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.26 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
RP/0/RP0/CPU0:Sep  1 16:16:34.775 : bgp[1015]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.14.28 Down - BGP Notification received, administrative reset (VRF: default) (AS: 65014) 
