Fri Sep  1 12:50:24.890 PDT
RP/0/RP0/CPU0:Sep  1 09:08:28.079 : resmon[183]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 764.734MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (833532 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 24411, Heap usage: 3485744 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 7703, Heap usage: 1110596 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3183, Heap usage: 285208 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3872, Heap usage: 153720 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:28.081 : resmon[183]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2688, Heap usage: 100156 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.46 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.42 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
RP/0/RP0/CPU0:Sep  1 09:08:42.033 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.13.44 Down - BGP Notification received, out of resource (VRF: default) (AS: 65013) 
