Fri Sep  1 12:50:59.228 PDT
RP/0/RP0/CPU0:Sep  1 09:08:44.619 : resmon[189]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Minor with 817.951MB free. Previous state: Normal 
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USERS_INFO : Top 5 consumers of system memory (836408 Kbytes free):  
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 0: Process Name: ./pipeline[0], pid: 25201, Heap usage: 3534868 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 1: Process Name: emsd[0], pid: 8372, Heap usage: 1074244 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 2: Process Name: prm_server[0], pid: 3158, Heap usage: 286756 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 3: Process Name: fib_mgr[0], pid: 3882, Heap usage: 151852 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:44.620 : resmon[189]: %HA-HA_WD-6-TOP_MEMORY_USER_INFO : 4: Process Name: spp[0], pid: 2688, Heap usage: 102308 kbytes. 
RP/0/RP0/CPU0:Sep  1 09:08:49.134 : /pkg/sbin/sysmgr_log[66900]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by (Resmon). No LTRACE dump for ./pipeline 
RP/0/RP0/CPU0:Sep  1 09:08:49.212 : /pkg/sbin/sysmgr_log[66907]: %OS-SYSMGR-7-CHECK_LOG : /pkg/bin/resmon_debug_mem_script invoked by pid 2714 (Resmon). Output is in /misc/scratch//resmon_debug/debug_mem.node0_RP0_CPU0.25201.log 
RP/0/RP0/CPU0:Sep  1 09:08:54.838 : resmon[189]: %HA-HA_WD-6-MEMORY_RECOVERY_RESTART : Process ./pipeline[0] (pid 25201) using 3701496 kbytes of heap memory will be killed. It will be restarted if it is managed by sysmgr. 
RP/0/RP0/CPU0:Sep  1 09:09:22.404 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.39 Down - Peer closing down the session (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:09:57.485 : resmon[189]: %HA-HA_WD-4-MEMORY_ALARM : Memory threshold crossed: Normal with 4253.906MB free. Previous state: Minor 
RP/0/RP0/CPU0:Sep  1 09:11:22.403 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.37 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:11:22.404 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.35 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:15:22.405 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1139 Down - Peer closing down the session (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:15:22.405 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1135 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:15:22.405 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 2001:420:289:2000:0:1ab:fab0:1137 Down - BGP Notification received, out of resource (VRF: default) (AS: 65025) 
RP/0/RP0/CPU0:Sep  1 09:16:03.662 : SSHD_[67096]: %SECURITY-SSHD-6-INFO_SUCCESS : Successfully authenticated user 'admin' from '10.200.96.148' on 'vty0'(cipher 'aes128-ctr', mac 'hmac-sha2-256') 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.1 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.3 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.5 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.7 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65021) 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.9 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65022) 
RP/0/RP0/CPU0:Sep  1 09:16:06.258 : bgp[1050]: %ROUTING-BGP-5-ADJCHANGE : neighbor 172.31.11.11 Down - User clear requested (CEASE notification sent - administrative reset) (VRF: default) (AS: 65022) 
